is_win,time,score,algo
l,190.97188711166382,1700,expectimax
l,96.9911847114563,300,expectimax
l,216.68157243728638,1500,minimax
w,283.13209199905396,2000,minimax
l,137.1658914089203,800,expectimax
l,361.4553213119507,1700,minimax
l,288.76649832725525,1800,minimax
l,224.2740273475647,700,expectimax
w,200.10460901260376,2000,minimax
l,297.2697649002075,1700,minimax
l,230.06310844421387,1200,minimax
l,543.3360743522644,700,expectimax
l,209.7480444908142,1500,expectimax
l,214.34944128990173,500,expectimax
l,213.03405165672302,200,expectimax
l,467.9874520301819,1400,minimax
l,288.8866822719574,1500,expectimax
l,211.45920181274414,900,expectimax
l,62.06360077857971,600,minimax
l,73.01170682907104,0,expectimax
l,421.0676939487457,1500,minimax
l,124.09935855865479,900,minimax
w,382.52034068107605,2000,minimax
l,373.08113527297974,1200,minimax
w,362.6276307106018,2000,minimax
l,477.4415740966797,1500,expectimax
l,303.1316430568695,900,expectimax
l,198.3565616607666,700,minimax
l,68.35807943344116,200,expectimax
l,155.70206546783447,700,expectimax
w,150.23644423484802,2000,minimax
l,135.8135507106781,1000,expectimax
w,356.9682831764221,2000,minimax
w,415.9708251953125,2000,minimax
w,199.46595907211304,2000,minimax
l,233.82267904281616,500,expectimax
l,259.4079477787018,1000,expectimax
l,189.37034130096436,700,expectimax
l,261.2395887374878,1700,minimax
l,150.9373140335083,1500,minimax
l,272.9252164363861,1500,minimax
l,897.5932319164276,1500,expectimax
l,562.9805221557617,1200,expectimax
l,357.32504177093506,1500,minimax
w,131.8865668773651,2000,minimax
l,195.2178509235382,900,expectimax
l,159.2700936794281,500,expectimax
l,328.2739140987396,1200,minimax
l,169.16547179222107,900,minimax
l,158.8508381843567,300,expectimax
l,250.15019345283508,1400,minimax
l,525.0590445995331,1700,minimax
l,88.2848858833313,1800,minimax
l,161.83417582511902,500,expectimax
l,132.2545907497406,300,minimax
l,364.72625756263733,1400,minimax
l,254.93511867523193,1700,minimax
l,284.9484164714813,1500,expectimax
l,473.8766212463379,700,expectimax
l,171.49080157279968,700,expectimax
l,73.73622179031372,300,expectimax
l,155.71346163749695,500,expectimax
l,135.71281599998474,400,expectimax
l,351.502507686615,1500,expectimax
l,334.24360275268555,1700,minimax
l,347.486202955246,1700,minimax
l,379.0013236999512,1700,minimax
l,565.8987264633179,1200,expectimax
l,225.03090047836304,1700,expectimax
l,360.67414951324463,1700,minimax
l,681.8476431369781,1000,expectimax
l,542.0044946670532,1200,expectimax
l,98.18615102767944,200,expectimax
l,357.6478190422058,1500,minimax
l,180.66521000862122,900,expectimax
w,241.9973487854004,2000,minimax
l,177.224107503891,1400,minimax
l,166.32539057731628,200,expectimax
l,157.5033164024353,300,expectimax
l,159.94094228744507,300,expectimax
w,207.69395327568054,2000,minimax
l,93.58191537857056,400,expectimax
l,359.9245467185974,1700,minimax
w,227.25180196762085,2000,minimax
l,737.5722541809082,1500,expectimax
l,417.0878920555115,1200,minimax
l,176.15765500068665,800,expectimax
w,212.24964928627014,2000,minimax
l,464.87936902046204,1000,expectimax
l,320.6670603752136,1200,minimax
l,248.51773405075073,900,expectimax
l,262.4663231372833,1500,minimax
l,301.2337067127228,1700,minimax
l,339.0402410030365,1500,minimax
l,382.93863224983215,1400,minimax
l,145.38782739639282,400,expectimax
l,59.943742513656616,300,expectimax
w,254.16250324249268,2000,minimax
l,389.1572926044464,1500,minimax
w,133.7520272731781,2000,minimax
l,186.96359157562256,1700,minimax
l,69.03921568627452,500,minimax
l,229.90196078431373,1300,expectimax
l,108.25490196078431,700,minimax
l,148.47058823529412,900,expectimax
l,264.6862745098039,1100,minimax
l,160.86274509803923,800,minimax
l,337.11764705882354,1500,expectimax
l,75.82352941176471,300,minimax
l,323.11764705882354,1500,minimax
l,300.72549019607845,1600,expectimax
l,72.03921568627452,500,minimax
l,92.82352941176471,300,minimax
l,389.33333333333337,1700,expectimax
l,165.47058823529412,900,minimax
l,90.64705882352942,600,expectimax
l,174.47058823529412,900,expectimax
l,129.2549019607843,700,expectimax
l,205.68627450980392,1100,expectimax
l,124.43137254901961,400,expectimax
l,66.43137254901961,400,expectimax
l,71.2156862745098,200,expectimax
l,137.64705882352942,600,expectimax
l,199.86274509803923,800,minimax
l,330.72549019607845,1600,expectimax
l,235.07843137254903,1000,minimax
l,98.2156862745098,200,minimax
l,278.11764705882354,1500,minimax
l,247.29411764705884,1200,expectimax
l,284.11764705882354,1500,expectimax
l,208.86274509803923,800,minimax
l,157.64705882352942,600,expectimax
l,75.2156862745098,200,expectimax
l,163.2549019607843,700,expectimax
l,83.82352941176471,300,minimax
l,232.90196078431373,1300,minimax
l,280.11764705882354,1500,minimax
l,185.86274509803923,800,expectimax
l,334.33333333333337,1700,minimax
l,95.82352941176471,300,expectimax
l,149.64705882352942,600,minimax
l,292.29411764705884,1200,minimax
l,268.6862745098039,1100,expectimax
w,426.15686274509807,2000,expectimax
l,210.07843137254903,1000,minimax
l,74.82352941176471,300,minimax
l,26.215686274509807,200,minimax
l,73.2156862745098,200,expectimax
l,114.25490196078431,700,minimax
l,92.2156862745098,200,expectimax
l,268.5098039215686,1400,expectimax
